from;to
226;120
149;78
256;71
99;86
118;39
154;94
39;6
115;101
174;132
153;44
104;62
98;42
171;139
146;39
143;91
94;92
284;94
99;73
217;33
268;17
84;82
94;60
269;26
235;85
35;32
149;66
201;184
147;79
275;167
246;105
283;73
246;89
73;21
16;13
242;216
201;104
114;111
70;39
134;82
140;71
106;19
262;143
94;51
194;92
226;42
286;8
117;29
149;43
133;95
124;43
40;37
247;243
242;69
109;81
49;3
143;60
92;33
157;6
201;176
43;38
212;62
195;92
46;42
123;3
187;71
99;23
47;3
51;32
48;21
194;140
263;114
249;33
248;149
189;21
134;92
187;111
189;60
84;44
172;58
118;36
138;94
194;18
143;11
176;114
155;40
85;40
58;50
232;9
210;3
94;37
239;58
185;162
140;13
275;135
104;16
174;94
140;29
246;51
84;37
185;77
87;49
110;52
108;31
139;51
211;39
270;143
60;21
80;76
255;42
183;130
36;11
130;73
84;21
54;33
48;18
193;44
249;39
84;65
155;7
87;44
49;29
111;9
171;44
201;84
188;17
94;72
229;5
197;33
271;39
82;15
101;37
195;65
42;13
195;56
181;164
154;147
32;20
236;29
198;73
114;33
40;5
45;9
249;30
79;39
181;5
78;6
149;15
182;60
92;28
252;79
176;77
114;5
60;37
148;51
167;56
110;84
89;30
181;10
48;13
143;97
79;27
30;17
261;184
79;74
162;91
226;3
143;56
183;181
200;7
97;15
129;39
252;34
60;33
65;39
59;30
147;39
79;28
54;45
176;20
76;23
85;43
115;12
197;36
210;114
169;135
72;39
254;99
29;23
72;58
65;42
66;60
96;8
201;194
126;43
176;83
60;13
76;51
79;26
101;58
213;76
153;143
147;105
154;32
127;79
140;135
188;82
236;134
143;6
27;11
129;120
283;229
85;7
232;135
69;42
236;38
189;79
149;47
154;81
153;49
229;18
183;8
184;49
236;137
229;137
214;43
174;137
130;6
208;60
59;6
123;94
82;60
229;201
220;42
26;17
7;3
229;115
226;183
48;37
208;29
111;42
121;42
42;35
43;24
188;83
79;43
195;52
289;26
185;32
156;55
142;87
114;52
246;12
171;90
138;87
261;59
151;92
201;118
194;71
223;104
162;104
249;153
209;115
261;47
129;65
258;120
236;17
67;48
239;195
232;58
79;19
184;76
189;101
249;5
143;36
158;70
21;5
189;5
83;49
82;37
187;104
248;73
236;23
221;13
242;29
216;89
77;33
283;34
195;70
213;106
230;85
232;70
152;84
269;33
239;154
288;24
155;117
112;92
286;155
226;38
283;92
72;7
235;165
286;153
146;42
200;155
40;6
148;143
174;30
79;55
271;42
94;34
263;195
274;39
201;143
194;21
266;29
232;96
270;84
138;58
38;36
216;134
201;51
154;105
194;10
178;60
184;84
143;52
200;72
99;16
263;139
197;105
85;1
81;17
251;13
244;83
194;147
132;85
216;112
156;33
55;21
89;48
135;110
262;151
67;65
207;79
229;64
149;42
55;23
209;58
114;15
58;41
188;42
181;99
59;23
226;94
118;104
242;71
67;58
277;140
102;92
36;24
268;85
101;92
189;63
143;84
165;20
241;29
105;18
69;10
21;12
81;56
112;17
115;87
232;49
233;79
244;52
171;58
176;24
65;54
141;42
262;3
56;40
249;84
45;40
32;18
107;97
229;150
139;18
256;65
140;84
117;85
118;67
74;44
182;84
92;82
88;60
76;72
97;54
249;44
185;94
172;158
116;42
233;48
157;72
150;60
90;79
231;79
149;147
46;24
290;188
157;94
261;61
216;21
220;37
177;42
55;49
61;29
115;9
163;56
189;12
125;10
237;42
141;44
32;1
275;195
175;44
106;18
102;32
237;220
96;15
82;48
201;163
114;91
81;21
76;40
290;18
218;37
97;96
261;104
64;36
97;94
194;129
43;11
245;58
134;45
97;81
65;24
77;45
183;10
101;97
194;115
187;152
94;59
182;82
115;79
195;152
44;29
82;78
239;212
65;58
229;92
153;42
79;21
120;18
166;36
181;58
246;87
182;106
221;188
156;99
185;73
36;13
153;16
195;5
83;32
162;139
81;71
134;17
279;3
155;91
140;60
144;39
129;79
85;11
70;64
183;167
139;24
155;27
53;18
120;95
46;3
157;115
195;134
237;32
37;27
150;32
91;3
286;52
290;140
75;8
147;72
183;98
39;31
104;69
72;70
248;70
72;64
189;167
13;6
64;11
162;37
281;233
176;112
246;143
34;23
74;42
236;85
229;59
42;20
64;39
149;99
167;40
43;29
232;156
246;85
216;86
98;76
82;34
200;194
108;84
89;33
86;39
81;51
246;174
121;13
105;23
149;130
126;70
27;23
265;216
183;37
187;64
208;184
271;94
104;94
204;150
63;58
226;153
97;87
180;63
183;11
60;7
103;16
200;135
60;36
194;120
221;37
92;38
151;37
145;3
48;6
39;30
123;88
199;33
243;29
132;33
114;70
72;26
275;140
94;49
78;24
171;112
188;91
214;42
217;118
121;32
77;38
209;79
269;90
147;85
63;43
242;239
73;69
223;48
200;42
29;10
104;23
189;42
42;26
201;152
190;160
171;65
176;150
244;147
140;108
195;34
261;233
188;65
261;21
261;27
229;78
248;96
94;82
88;33
84;6
290;81
261;92
91;27
112;88
32;16
154;44
250;97
140;42
31;21
84;54
149;117
212;43
149;103
52;1
167;37
283;72
271;79
139;100
242;162
79;64
270;33
63;32
149;49
259;44
148;44
140;62
165;94
261;105
154;51
30;20
197;88
49;17
140;85
185;69
182;167
91;44
34;16
134;94
72;63
183;129
84;43
189;97
268;33
210;48
210;149
110;97
80;60
249;148
252;194
140;6
185;19
121;39
163;9
245;139
188;129
73;48
161;32
85;6
210;91
246;118
182;44
257;44
220;79
106;94
150;88
54;6
171;42
229;106
84;5
188;13
115;65
265;149
200;25
283;29
29;12
209;83
149;64
271;150
197;107
23;13
90;3
239;101
135;10
33;27
181;94
69;44
149;59
27;16
56;54
236;140
121;3
183;85
273;65
176;56
236;56
246;3
107;44
113;79
79;75
135;26
223;3
248;12
117;37
246;120
89;60
49;19
283;21
96;75
79;65
236;52
223;29
236;112
244;195
150;97
21;2
174;47
208;70
242;149
242;21
139;6
120;6
44;25
152;49
40;36
265;140
225;85
214;87
181;110
19;5
